187;186;08/01/2021;01010102102136; ;;Peralihan Hak - Jual Beli;01010102.02060;;;263/2021;Berkas No.415/2021 Selesai Diserahkan
188;187;08/01/2021;01010405110946; ;;Peralihan Hak - Jual Beli;01010405.03504;;;259/2021;Berkas No.246/2021 Selesai Diserahkan
189;188;08/01/2021;01010316110080; ;;Peralihan Hak - Hibah;01010316.01346;;;256/2021;Berkas No.91/2021 Selesai Diserahkan
190;189;08/01/2021;01010409100402; ;;Peralihan Hak - Pembagian Hak Bersama;01010409.02954;;;260/2021;Berkas No.565/2021 Selesai Diserahkan
191;190;08/01/2021;01010108110163; ;;Peralihan Hak - Pewarisan;01010108.00227;;;254/2021;Berkas No.188/2021 Selesai Diserahkan
192;191;08/01/2021;01010103100104; ;;Peralihan Hak - Pewarisan;01010103.03103;;;253/2021;Berkas No.529/2021 Selesai Diserahkan
193;192;08/01/2021;01010314110012; ;;Roya;01010314.00021;;;252/2021;Berkas No.531/2021 Selesai Diserahkan
194;193;08/01/2021;01010809110199; ;;Peralihan Hak - Jual Beli;01010809.00733;;;250/2021;Berkas No.485/2021 Selesai Diserahkan
195;194;08/01/2021;01010606100018; ;;Roya;01010606.02849;;;249/2021;Berkas No.482/2021 Selesai Diserahkan
196;195;08/01/2021;01010105100040; ;;Ganti Nama;01010105.02504;;;247/2021;Berkas No.115/2021 Selesai Diserahkan
197;196;08/01/2021;01010410110463; ;;Peralihan Hak - Jual Beli;01010410.02443;;;248/2021;Berkas No.470/2021 Selesai Diserahkan
198;197;08/01/2021;01010208102090; ;;Peralihan Hak - Jual Beli;01010208.02090;;;244/2021;Berkas No.469/2021 Selesai Diserahkan
199;198;08/01/2021;01010108102016; ;;Roya;01010108.02020;;;230/2021;Berkas No.426/2021 Selesai Diserahkan
200;199;11/01/2021;; ;;Subrogasi;;;;;Berkas No.82/2021 Selesai Diserahkan
201;200;11/01/2021;; ;;Subrogasi;;;;;Berkas No.53/2021 Selesai Diserahkan
202;201;11/01/2021;00005/2021; ;;Hak Tanggungan;;;;87/2021;
203;202;11/01/2021;00006/2021; ;;Hak Tanggungan;;;;79/2021;
204;203;11/01/2021;00007/2021; ;;Hak Tanggungan;;;;98/2021;
